A,B
30522497,17443116
30522497,16817194
30522497,12777365
30522497,3397865
30524223,30102759
30524223,29657115
30524223,29325715
30524223,29218419
30524223,29138106
30524223,29107703
30524223,28701075
30524223,28620314
30524223,28588546
30524223,28389870
30524223,28261108
30524223,27909990
30524223,27814668
30524223,27796054
30524223,27665420
30524223,27336845
30524223,27301294
30524223,27245919
30524223,26944151
30524223,25866368
30524223,25852518
30524223,25511388
30524223,25328140
30524223,25038418
30524223,24389262
30524223,24321199
30524223,24135219
30524223,24102345
30524223,24089383
30524223,24068427
30524223,24041616
30524223,23516292
30524223,23396085
30524223,23299718
30524223,23117790
30524223,22203796
30524223,21935673
30524223,21739363
30524223,21338887
30524223,21236244
30524223,21205893
30524223,21192928
30524223,20882064
30524223,20728473
30524223,19921532
30524223,19847468
30524223,19654017
30524223,19633949
30524223,19026718
30524223,18160631
30524223,18077696
30524223,17996959
30524223,17977608
30524223,17898005
30524223,17619858
30524223,17491094
30524223,17470494
30524223,17115071
30524223,17005202
30524223,16870307
30524223,16809007
30524223,16402079
30524223,15979595
30524223,15698637
30524223,15203246
30524223,15132732
30524223,15090035
30524223,14656716
30524223,12939433
30524223,12796537
30524223,12469866
30524223,12217429
30524223,11830288
30524223,11830281
30524223,11830273
30524223,11810033
30524223,11370008
30524223,11328454
30524223,11274794
30524223,11250867
30524223,11031089
30524223,10915829
30524223,10718305
30524223,10698122
30524223,9822755
30524223,9491897
30524223,9130677
30524223,8559303
30524223,6471907
30524223,4714294
30524223,3185926
30524223,2881444
30524223,239718
30524265,30190461
30524265,30093536
30524265,30065316
30524265,29969391
30524265,29913007
30524265,29783988
30524265,29497361
30524265,29492779
30524265,29242346
30524265,28923922
30524265,28877262
30524265,28860381
30524265,28751258
30524265,28725967
30524265,28649610
30524265,28576704
30524265,28552073
30524265,28450268
30524265,28439627
30524265,28295625
30524265,28170377
30524265,28122627
30524265,28086931
30524265,28049533
30524265,28012041
30524265,27928028
30524265,27918765
30524265,27886407
30524265,27865851
30524265,27733604
30524265,27708076
30524265,27628239
30524265,27622765
30524265,27541985
30524265,27503075
30524265,27192565
30524265,27107797
30524265,27075649
30524265,27030592
30524265,27018801
30524265,26989132
30524265,26915902
30524265,26858591
30524265,26808901
30524265,26808899
30524265,26799377
30524265,26782965
30524265,26769968
30524265,26761717
30524265,26704735
30524265,26647156
30524265,26576561
30524265,26436904
30524265,26352473
30524265,26347034
30524265,26324905
30524265,26323479
30524265,26286986
30524265,26260853
30524265,26221742
30524265,26181201
30524265,26093169
30524265,26076669
30524265,26075822
30524265,26061766
30524265,26050140
30524265,25983062
30524265,25855634
30524265,25853980
30524265,25825709
30524265,25816357
30524265,25659148
30524265,25658425
30524265,25451814
30524265,25425650
30524265,25392495
30524265,25363075
30524265,25296989
30524265,25112864
30524265,25095794
30524265,25051958
30524265,25009275
30524265,25008355
30524265,24997849
30524265,24942732
30524265,24931606
30524265,24878508
30524265,24851801
30524265,24768993
30524265,24746855
30524265,24736453
30524265,24728187
30524265,24662516
30524265,24659240
30524265,24603074
30524265,24574503
30524265,24525765
30524265,24468877
30524265,24399444
30524265,24337465
30524265,24334770
30524265,24243558
30524265,24236103
30524265,24108358
30524265,23983262
30524265,23925565
30524265,23916651
30524265,23874151
30524265,23859557
30524265,23792198
30524265,23790379
30524265,23765500
30524265,23757764
30524265,23744071
30524265,23739956
30524265,23703938
30524265,23666528
30524265,23637226
30524265,23610405
30524265,23604588
30524265,23512373
30524265,23506036
30524265,23466394
30524265,23463005
30524265,23431141
30524265,23384597
30524265,23363402
30524265,23205266
30524265,23199590
30524265,23186369
30524265,23173708
30524265,23161999
30524265,23154633
30524265,23109146
30524265,23108585
30524265,23070648
30524265,23015436
30524265,22941029
30524265,22920859
30524265,22915117
